,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
293,16.60610968441911,2002-06-26,,,8.0,71.0,1.3485306069126542e-28,4.492775002873898e-248
294,14.440157232507255,2002-06-27,,,9.0,72.0,4.4268357530968343e-32,1.4748480243156014e-251
295,10.291171375470622,2002-06-28,,,10.0,73.0,1.4532020767227367e-35,4.841499281481908e-255
296,6.9937507221452195,2002-07-01,,,11.0,74.0,4.770441899304526e-39,1.5893241138163921e-258
297,4.482365343784212,2002-07-02,,,12.0,75.0,1.5659980314618308e-42,5.217291156934976e-262
298,3.3307624782323964,2002-07-03,,,13.0,76.0,5.140718378521396e-46,1.7126857120961372e-265
299,2.9036589386425957,2002-07-05,,,14.0,77.0,1.6875490847583098e-49,5.6222515864749114e-269
300,2.630863199725253,2002-07-08,,,15.0,78.0,5.53973531280614e-53,1.84562250262113e-272
301,2.7719754490693065,2002-07-09,,,16.0,79.0,1.8185347977802114e-56,6.058644601347712e-276
302,5.65889221889799,2002-07-10,,,17.0,80.0,5.96972350482631e-60,1.9888777013343036e-279
303,8.907117187343133,2002-07-11,,,18.0,81.0,1.9596874784896414e-63,6.528909964424162e-283
304,12.02353929284476,2002-07-12,,,19.0,82.0,6.433086909710779e-67,2.1432522117857964e-286
305,14.473080758962807,2002-07-15,,,20.0,83.0,2.1117962757912746e-70,7.035676810301746e-290
306,17.464067688884498,2002-07-16,,,21.0,84.0,6.9324160749543954e-74,2.3096091027834383e-293
307,21.039688596495704,2002-07-17,,,22.0,85.0,2.2757115914640177e-77,7.58177834412486e-297
308,26.699441961258184,2002-07-18,,,23.0,86.0,7.470502623513925e-81,2.488878433591395e-300
309,32.28242418432733,2002-07-19,1.0,,0.0,87.0,1.0,8.170267681323738e-304
310,36.84878783768246,2002-07-22,1.0,,0.0,88.0,1.0,2.6820624536551642e-307
311,43.39737802013748,2002-07-23,1.0,,0.0,89.0,1.0,8.804434916803e-311
312,49.760013781339495,2002-07-24,1.0,,0.0,90.0,1.0,2.890241206e-314
313,54.733876665903,2002-07-25,1.0,,0.0,91.0,1.0,9.487824e-318
314,55.92359180336481,2002-07-26,1.0,,0.0,92.0,1.0,3.113e-321
315,51.884937584219834,2002-07-29,1.0,,0.0,93.0,1.0,0.0
316,44.9954972941904,2002-07-30,,,1.0,94.0,0.00032827106262212926,0.0
317,35.91127627359448,2002-07-31,,,2.0,95.0,1.0776189055506189e-07,0.0
318,28.268667951739594,2002-08-01,,,3.0,96.0,3.537511032267976e-11,0.0
319,22.73148472329532,2002-08-02,,,4.0,97.0,1.1612625056001137e-14,0.0
320,19.217499276343055,2002-08-05,,,5.0,98.0,3.81208876696587e-18,0.0
321,19.81667175608223,2002-08-06,,,6.0,99.0,1.2513984303417641e-21,0.0
322,20.729167015602254,2002-08-07,,,7.0,100.0,4.1079789249195397e-25,0.0
323,20.60481267097647,2002-08-08,,,8.0,101.0,1.3485306069126542e-28,0.0
324,20.422448426413236,2002-08-09,,,9.0,102.0,4.4268357530968343e-32,0.0
325,21.973604630373792,2002-08-12,,,10.0,103.0,1.4532020767227367e-35,0.0
326,22.485119146038144,2002-08-13,,1.0,11.0,0.0,4.770441899304526e-39,1.0
327,23.83642658733434,2002-08-14,,,12.0,1.0,1.5659980314618308e-42,0.00032827106262212926
328,25.698449949541008,2002-08-15,,,13.0,2.0,5.140718378521396e-46,1.0776189055506189e-07
329,26.845628239761048,2002-08-16,,,14.0,3.0,1.6875490847583098e-49,3.537511032267976e-11
330,26.83072442680044,2002-08-19,,,15.0,4.0,5.53973531280614e-53,1.1612625056001137e-14
331,25.72990235803429,2002-08-20,,,16.0,5.0,1.8185347977802114e-56,3.81208876696587e-18
332,23.350443646694135,2002-08-21,,,17.0,6.0,5.96972350482631e-60,1.2513984303417641e-21
333,22.43271549870748,2002-08-22,,,18.0,7.0,1.9596874784896414e-63,4.1079789249195397e-25
334,22.369654885586005,2002-08-23,,,19.0,8.0,6.433086909710779e-67,1.3485306069126542e-28
335,22.473314074725472,2002-08-26,,,20.0,9.0,2.1117962757912746e-70,4.4268357530968343e-32
336,20.461795974598157,2002-08-27,,,21.0,10.0,6.9324160749543954e-74,1.4532020767227367e-35
337,16.795800733560068,2002-08-28,,,22.0,11.0,2.2757115914640177e-77,4.770441899304526e-39
338,13.04713481431514,2002-08-29,,,23.0,12.0,7.470502623513925e-81,1.5659980314618308e-42
339,9.814735086954055,2002-08-30,,,24.0,13.0,2.4523498345423292e-84,5.140718378521396e-46
340,12.122547114492573,2002-09-03,,,25.0,14.0,8.050354861064161e-88,1.6875490847583098e-49
341,16.48107243610981,2002-09-04,,,26.0,15.0,2.6426985447267654e-91,5.53973531280614e-53
342,21.908760122050094,2002-09-05,,,27.0,16.0,8.675214594674127e-95,1.8185347977802114e-56
