Date,pos_k,neg_k,pos_k_hl,neg_k_hl,POS_DI14,NEG_DI14,ADX,pos_k_copy,neg_k_copy,pos_k_hl_copy,neg_k_hl_copy
2011-04-14,0.0,0.0,0.0,0.0,30.839220513820454,29.78888089115256,17.848682663767594,0.0,0.0,0.0,0.0
2011-04-15,0.0,0.0,0.0,0.0,31.11748044817452,28.236818222240235,16.920443457625456,0.0,0.0,0.0,0.0
2011-04-18,0.0,0.0,0.0,0.0,30.510750684934077,33.62852235345036,16.05905036349702,0.0,0.0,0.0,0.0
2011-04-19,0.0,0.0,0.0,0.0,23.479844106987443,35.243998503195186,16.342904761147608,0.0,0.0,0.0,0.0
2011-04-20,0.0,0.0,0.0,0.0,23.65523948700439,35.142236711495066,16.57102214314836,0.0,0.0,0.0,0.0
2011-04-21,0.0,0.0,0.0,0.0,20.032581103139698,36.29495095682498,17.449598086127697,0.0,0.0,0.0,0.0
2011-04-25,0.0,0.0,0.0,0.0,20.78043098351336,38.8492901739162,18.36761015410295,0.0,0.0,0.0,0.0
2011-04-26,0.0,0.0,0.0,0.0,24.69308448021077,36.84115181684628,18.465778350863825,0.0,0.0,0.0,0.0
2011-04-27,0.0,0.0,0.0,0.0,17.571374075002424,37.68783621796387,19.7470668713362,0.0,0.0,0.0,0.0
2011-04-28,0.0,0.0,0.0,0.0,11.1181374357548,42.83754163422507,22.535696954228214,0.0,0.0,0.0,0.0
2011-04-29,0.0,0.0,0.0,0.0,11.237939193573077,42.77579036273685,25.096617366997485,0.0,0.0,0.0,0.0
2011-05-02,0.0,0.0,0.0,0.0,14.78484031561789,42.702305734580435,26.77278540335886,0.0,0.0,0.0,0.0
2011-05-03,0.0,0.0,0.0,0.0,14.965399144281681,41.23981218357929,28.199535719585448,0.0,0.0,0.0,0.0
2011-05-04,0.0,0.0,0.0,0.0,7.995068518050961,42.455291710856685,31.064226554524193,0.0,0.0,0.0,0.0
2011-05-05,0.0,0.0,0.0,0.0,8.279650919774353,33.14861567277701,33.13313732281275,0.0,0.0,0.0,0.0
2011-05-06,0.0,0.0,0.0,0.0,10.521739031012627,31.203313655562333,34.306936340497906,0.0,0.0,0.0,0.0
2011-05-09,0.0,0.0,0.0,0.0,10.950681380747488,25.007616233672717,34.648749872795555,0.0,0.0,0.0,0.0
2011-05-10,0.0,0.0,0.0,0.0,13.704798066560285,18.85972690821053,33.304545674938716,0.0,0.0,0.0,0.0
2011-05-11,0.0,0.0,0.0,0.0,13.671457534689035,21.541877809986058,32.522126774240945,0.0,0.0,0.0,0.0
2011-05-12,0.0,0.0,0.0,0.0,11.697765123902528,38.78715501894718,34.03185909121227,0.0,0.0,0.0,0.0
2011-05-13,0.0,0.0,0.0,0.0,11.467472342633837,37.721782086677344,35.41344596986614,0.0,0.0,0.0,0.0
2011-05-16,0.0,0.0,0.0,0.0,9.979092728220996,37.184835381362575,37.004154752704146,0.0,0.0,0.0,0.0
2011-05-17,0.0,0.0,0.0,0.0,9.917740578915096,40.12771382493,38.67279150802835,0.0,0.0,0.0,0.0
2011-05-18,0.0,0.0,0.0,0.0,10.20507722473291,36.312221593052,39.9192719399868,0.0,0.0,0.0,0.0
2011-05-19,0.0,0.0,0.0,0.0,10.12464539828706,39.37349721775603,41.288667286644944,0.0,0.0,0.0,0.0
2011-05-20,0.0,0.0,0.0,0.0,6.435349152221668,46.494712416561576,43.74544646562285,0.0,0.0,0.0,0.0
2011-05-23,0.0,0.0,0.0,0.0,6.307185406205923,47.493773174570634,46.08888827941214,0.0,0.0,0.0,0.0
2011-05-24,0.0,0.0,0.0,0.0,6.486256374654007,48.84219650603889,48.264941392216464,0.0,0.0,0.0,0.0
2011-05-25,0.0,0.0,0.0,0.0,8.800109169205863,47.04869405462357,49.70929933331191,0.0,0.0,0.0,0.0
2011-05-26,0.0,0.0,0.0,0.0,7.06198926191422,49.241459970717656,51.50967375697919,0.0,0.0,0.0,0.0
2011-05-27,0.0,0.0,0.0,0.0,13.22470574754821,47.066664934272936,51.83974596814314,0.0,0.0,0.0,0.0
2011-05-31,1.0,0.0,1.0,0.0,20.091430629386227,47.311188803081635,51.021466142375225,0.0,0.0,0.0,0.0
2011-06-01,0.9,0.0,0.8705505632961241,0.0,19.39497615702412,53.40257235427521,50.713883142571895,0.0,0.0,0.0,0.0
2011-06-02,0.8,0.0,0.757858283255199,0.0,18.16818180625295,44.07651714374575,50.06456008535854,0.0,0.0,0.0,0.0
